belotn@DESKTOP-QPKGRAU:~/.local/bin$ python3.10 -X importtime docling --to md quiz4_practice_part2.pdf 2>&1 | head -50
import time:       262 |        262 |                         pandas.core.dtypes
import time:        65 |         65 |                           pyarrow
import time:       724 |        788 |                         pandas._libs.lib
import time:       337 |        337 |                         pandas.errors
import time:       212 |        212 |                           pandas.core.dtypes.generic
import time:       252 |        464 |                         pandas.core.dtypes.base
import time:        97 |         97 |                         pandas.core.dtypes.inference
import time:      1289 |       3234 |                       pandas.core.dtypes.dtypes
import time:       154 |        154 |                         pandas.core.dtypes.common
import time:       187 |        340 |                       pandas.core.dtypes.missing
import time:       132 |        132 |                         pandas.util._decorators
import time:        66 |         66 |                             pandas.io
import time:       128 |        194 |                           pandas.io._util
import time:       288 |        482 |                         pandas.core.dtypes.cast
import time:        88 |         88 |                           pandas.core.dtypes.astype
import time:       107 |        194 |                         pandas.core.dtypes.concat
import time:        75 |         75 |                           pandas.core.array_algos
import time:      1753 |       1753 |                               numpy.ma.core
import time:       593 |        593 |                               numpy.ma.extras
import time:       163 |       2507 |                             numpy.ma
import time:       175 |        175 |                             pandas.core.common
import time:       516 |       3196 |                           pandas.core.construction
import time:       177 |       3448 |                         pandas.core.array_algos.take
import time:       103 |        103 |                           pandas.core.indexers.utils
import time:        97 |        199 |                         pandas.core.indexers
import time:       399 |       4852 |                       pandas.core.algorithms
import time:       163 |        163 |                           pandas.core.arrays.arrow.accessors
import time:        37 |         37 |                             unicodedata
import time:       119 |        119 |                             pandas.util._validators
import time:       243 |        243 |                             pandas.core.missing
import time:       281 |        281 |                                 pandas._libs.ops
import time:        94 |         94 |                                 pandas.core.roperator
import time:        72 |         72 |                                 pandas.core.computation
import time:       104 |        104 |                                   pandas.core.computation.check
import time:       164 |        268 |                                 pandas.core.computation.expressions
import time:        64 |         64 |                                 pandas.core.ops.missing
import time:        54 |         54 |                                 pandas.core.ops.dispatch
import time:        54 |         54 |                                 pandas.core.ops.invalid
import time:       229 |       1113 |                               pandas.core.ops.array_ops
import time:        62 |         62 |                               pandas.core.ops.common
import time:        98 |         98 |                               pandas.core.ops.docstrings
import time:        58 |         58 |                               pandas.core.ops.mask_ops
import time:       119 |       1448 |                             pandas.core.ops
import time:       198 |        198 |                             pandas.core.arraylike
import time:       132 |        132 |                             pandas.core.arrays._arrow_string_mixins
import time:        85 |         85 |                             pandas.core.arrays._utils
import time:       143 |        143 |                               pandas.compat.numpy.function
import time:        77 |         77 |                               pandas.core.array_algos.quantile
